T X
0 0
1.000000e-02 6.337326e-08
2.000000e-02 1.795305e-07
3.000000e-02 7.755232e-07
4.000000e-02 -5.506994e-06
5.000000e-02 -5.283424e-05
6.000000e-02 -1.609467e-04
7.000000e-02 -1.161961e-04
8.000000e-02 5.416831e-04
9.000000e-02 1.658700e-03
1.000000e-01 1.990813e-03
1.100000e-01 9.598066e-04
1.200000e-01 -3.975471e-04
1.300000e-01 -1.720929e-03
1.400000e-01 -3.390063e-03
1.500000e-01 -4.554686e-03
1.600000e-01 -4.883340e-03
1.700000e-01 -4.806283e-03
1.800000e-01 -3.782468e-03
1.900000e-01 -2.105202e-03
2.000000e-01 -2.735750e-04
2.100000e-01 1.911920e-03
2.200000e-01 3.701596e-03
2.300000e-01 4.979172e-03
2.400000e-01 5.693583e-03
2.500000e-01 5.381883e-03
