T X
0 0
1.000000e-02 2.396369e-09
2.000000e-02 1.609146e-07
3.000000e-02 1.074127e-06
4.000000e-02 -8.355311e-08
5.000000e-02 -3.043722e-05
6.000000e-02 -1.412189e-04
7.000000e-02 -2.351384e-04
8.000000e-02 1.393742e-04
9.000000e-02 1.234236e-03
1.000000e-01 2.127287e-03
1.100000e-01 1.682316e-03
1.200000e-01 4.388222e-04
1.300000e-01 -7.669986e-04
1.400000e-01 -2.351726e-03
1.500000e-01 -3.930542e-03
1.600000e-01 -4.664502e-03
1.700000e-01 -4.966287e-03
1.800000e-01 -4.575609e-03
1.900000e-01 -3.221274e-03
2.000000e-01 -1.616789e-03
2.100000e-01 4.044361e-04
2.200000e-01 2.466792e-03
2.300000e-01 3.989993e-03
2.400000e-01 5.175602e-03
2.500000e-01 5.451363e-03
