T X
0 0
1.000000e-02 -1.148050e-07
2.000000e-02 4.617727e-07
3.000000e-02 2.088856e-06
4.000000e-02 -4.016153e-06
5.000000e-02 -7.253569e-05
6.000000e-02 -2.295306e-04
7.000000e-02 -1.363661e-04
8.000000e-02 7.809498e-04
9.000000e-02 2.063739e-03
1.000000e-01 2.255344e-03
1.100000e-01 1.190864e-03
1.200000e-01 -3.808920e-04
1.300000e-01 -2.621422e-03
1.400000e-01 -5.042791e-03
1.500000e-01 -6.796694e-03
1.600000e-01 -7.930266e-03
1.700000e-01 -7.890590e-03
1.800000e-01 -6.595717e-03
1.900000e-01 -4.382741e-03
2.000000e-01 -1.213367e-03
2.100000e-01 2.192596e-03
2.200000e-01 5.520533e-03
2.300000e-01 8.275178e-03
2.400000e-01 9.947827e-03
2.500000e-01 1.050965e-02
