T X
0 0
5.000000e-03 0
1.000000e-02 0
1.500000e-02 0
2.000000e-02 0
2.500000e-02 0
3.000000e-02 0
3.500000e-02 0
4.000000e-02 0
4.500000e-02 0
5.000000e-02 0
5.500000e-02 0
6.000000e-02 0
6.500000e-02 0
7.000000e-02 0
7.500000e-02 0
8.000000e-02 0
8.500000e-02 0
9.000000e-02 0
9.500000e-02 0
1.000000e-01 0
1.000000e-01 0
1.000000e-01 3.595540e-21
1.006647e-01 2.097104e-06
1.013295e-01 8.361390e-06
1.019942e-01 1.871354e-05
1.026589e-01 3.302274e-05
1.034708e-01 5.559471e-05
1.042827e-01 8.337010e-05
1.050000e-01 1.118288e-04
1.061516e-01 1.640473e-04
1.075537e-01 2.359282e-04
1.092753e-01 3.310054e-04
1.100000e-01 3.716417e-04
1.111483e-01 4.345311e-04
1.122966e-01 4.935674e-04
1.134449e-01 5.464909e-04
1.145932e-01 5.912349e-04
1.150000e-01 6.047947e-04
1.159425e-01 6.309587e-04
1.168851e-01 6.492084e-04
1.178276e-01 6.589152e-04
1.187702e-01 6.596149e-04
1.197127e-01 6.510106e-04
1.200000e-01 6.465139e-04
1.211550e-01 6.195827e-04
1.223100e-01 5.786521e-04
1.234650e-01 5.242023e-04
1.246200e-01 4.569876e-04
1.250000e-01 4.322319e-04
1.260899e-01 3.545275e-04
1.269115e-01 2.898254e-04
1.269115e-01 2.898254e-04
1.280015e-01 1.967191e-04
1.290914e-01 9.632477e-05
1.300000e-01 7.846409e-06
1.309086e-01 -8.431686e-05
1.318172e-01 -1.795778e-04
1.327257e-01 -2.773896e-04
1.336343e-01 -3.772538e-04
1.345429e-01 -4.787256e-04
1.350000e-01 -5.302662e-04
1.360947e-01 -6.546735e-04
1.371894e-01 -7.800826e-04
1.382842e-01 -9.060799e-04
1.393789e-01 -1.032346e-03
1.400000e-01 -1.104013e-03
1.410559e-01 -1.225757e-03
1.421118e-01 -1.347259e-03
1.431677e-01 -1.468378e-03
1.442236e-01 -1.588962e-03
1.450000e-01 -1.677185e-03
1.459750e-01 -1.787303e-03
