T X
0 0
1.000000e-02 0
2.000000e-02 0
3.000000e-02 0
4.000000e-02 0
5.000000e-02 0
6.000000e-02 0
7.000000e-02 0
8.000000e-02 0
9.000000e-02 0
1.000000e-01 0
1.100000e-01 -2.888936e-04
1.200000e-01 -1.403368e-03
1.300000e-01 -2.584529e-03
1.400000e-01 -2.832795e-03
1.500000e-01 -2.497289e-03
1.600000e-01 -1.936489e-03
1.700000e-01 -1.101652e-03
1.800000e-01 2.626180e-05
1.900000e-01 1.173495e-03
2.000000e-01 2.186455e-03
2.100000e-01 3.091883e-03
2.200000e-01 3.849452e-03
2.300000e-01 4.418828e-03
2.400000e-01 5.101519e-03
2.500000e-01 6.083252e-03
2.600000e-01 7.240812e-03
2.700000e-01 8.587861e-03
2.800000e-01 1.009895e-02
2.900000e-01 1.166856e-02
3.000000e-01 1.323187e-02
