T X
0 0
1.000000e-02 -3.555552e-08
2.000000e-02 -2.000859e-09
3.000000e-02 1.427690e-07
4.000000e-02 2.786022e-07
5.000000e-02 4.494533e-07
6.000000e-02 4.997834e-07
7.000000e-02 7.315144e-07
8.000000e-02 1.249560e-06
9.000000e-02 -3.583851e-06
1.000000e-01 -4.188857e-06
1.100000e-01 3.873734e-05
1.200000e-01 -1.186922e-06
1.300000e-01 -1.392340e-04
1.400000e-01 -3.627899e-05
1.500000e-01 2.796440e-04
1.600000e-01 3.168183e-04
1.700000e-01 -1.470686e-04
1.800000e-01 -7.087192e-04
1.900000e-01 -7.283802e-04
2.000000e-01 3.033921e-06
2.100000e-01 1.064495e-03
2.200000e-01 1.708062e-03
2.300000e-01 1.368512e-03
2.400000e-01 1.628896e-05
2.500000e-01 -1.813942e-03
