T X
0 0
1.000000e-02 -5.704977e-08
2.000000e-02 2.517114e-08
3.000000e-02 1.025860e-07
4.000000e-02 1.568660e-07
5.000000e-02 2.447955e-07
6.000000e-02 2.109267e-07
7.000000e-02 2.517461e-07
8.000000e-02 1.411105e-07
9.000000e-02 1.168271e-07
1.000000e-01 -1.327886e-08
1.100000e-01 -8.200510e-08
1.200000e-01 -1.573427e-07
1.300000e-01 -2.307289e-07
1.400000e-01 -1.995459e-07
1.500000e-01 -2.469547e-07
1.600000e-01 -1.073529e-07
1.700000e-01 -9.628431e-08
1.800000e-01 9.894755e-08
1.900000e-01 -1.623374e-07
2.000000e-01 -4.936048e-07
2.100000e-01 1.064706e-06
2.200000e-01 6.518766e-06
2.300000e-01 3.105330e-06
2.400000e-01 -2.968699e-05
2.500000e-01 -4.813703e-05
