T X
0 0
1.000000e-02 7.926468e-08
2.000000e-02 1.808725e-07
3.000000e-02 1.295058e-06
4.000000e-02 -3.212061e-06
5.000000e-02 -5.158715e-05
6.000000e-02 -1.804761e-04
7.000000e-02 -1.741883e-04
8.000000e-02 4.923482e-04
9.000000e-02 1.716784e-03
1.000000e-01 2.197022e-03
1.100000e-01 1.279522e-03
1.200000e-01 -1.199216e-04
1.300000e-01 -1.761447e-03
1.400000e-01 -3.826147e-03
1.500000e-01 -5.354985e-03
1.600000e-01 -6.136962e-03
1.700000e-01 -6.297686e-03
1.800000e-01 -5.266594e-03
1.900000e-01 -3.491840e-03
2.000000e-01 -1.175678e-03
2.100000e-01 1.600272e-03
2.200000e-01 4.051789e-03
2.300000e-01 6.151791e-03
2.400000e-01 7.424560e-03
2.500000e-01 7.644135e-03
