T X
0 0
5.000000e-03 0
1.000000e-02 0
1.500000e-02 0
2.000000e-02 0
2.500000e-02 0
3.000000e-02 0
3.500000e-02 0
4.000000e-02 0
4.500000e-02 0
5.000000e-02 0
5.500000e-02 0
6.000000e-02 0
6.500000e-02 0
7.000000e-02 0
7.500000e-02 0
8.000000e-02 0
8.500000e-02 0
9.000000e-02 0
9.500000e-02 0
1.000000e-01 0
1.000000e-01 0
1.000000e-01 4.575951e-22
1.006647e-01 6.472724e-07
1.013295e-01 2.585664e-06
1.019942e-01 5.805144e-06
1.026589e-01 1.028914e-05
1.034708e-01 1.744647e-05
1.042827e-01 2.640061e-05
1.050000e-01 3.575325e-05
1.061516e-01 5.344359e-05
1.075537e-01 7.908297e-05
1.092753e-01 1.159241e-04
1.100000e-01 1.329552e-04
1.111483e-01 1.614394e-04
1.122966e-01 1.914185e-04
1.134449e-01 2.224827e-04
1.145932e-01 2.542188e-04
1.150000e-01 2.655514e-04
1.159425e-01 2.918278e-04
1.168851e-01 3.179677e-04
1.178276e-01 3.437630e-04
1.187702e-01 3.690164e-04
1.197127e-01 3.935440e-04
1.200000e-01 4.008507e-04
1.211550e-01 4.292878e-04
1.223100e-01 4.560398e-04
1.234650e-01 4.808747e-04
1.246200e-01 5.035982e-04
1.250000e-01 5.105861e-04
1.260899e-01 5.292205e-04
1.269115e-01 5.418461e-04
1.269115e-01 5.418461e-04
1.280015e-01 5.566487e-04
1.290914e-01 5.691787e-04
1.300000e-01 5.778554e-04
1.309086e-01 5.849028e-04
1.318172e-01 5.903043e-04
1.327257e-01 5.940442e-04
1.336343e-01 5.961054e-04
1.345429e-01 5.964674e-04
1.350000e-01 5.959998e-04
1.360947e-01 5.930798e-04
1.371894e-01 5.875678e-04
1.382842e-01 5.793801e-04
1.393789e-01 5.684121e-04
1.400000e-01 5.609081e-04
1.410559e-01 5.459274e-04
1.421118e-01 5.280264e-04
1.431677e-01 5.070480e-04
1.442236e-01 4.828224e-04
1.450000e-01 4.628370e-04
1.459750e-01 4.350013e-04
1.469500e-01 4.039853e-04
