T X
0 0
1.000000e-02 0
2.000000e-02 0
3.000000e-02 0
4.000000e-02 0
5.000000e-02 0
6.000000e-02 0
7.000000e-02 0
8.000000e-02 0
9.000000e-02 0
1.000000e-01 0
1.100000e-01 4.445226e-03
1.200000e-01 1.248109e-02
1.300000e-01 1.841542e-02
1.400000e-01 2.309850e-02
1.500000e-01 2.707414e-02
1.600000e-01 3.063754e-02
1.700000e-01 3.404830e-02
1.800000e-01 3.717712e-02
1.900000e-01 3.970166e-02
2.000000e-01 4.187626e-02
2.100000e-01 4.443505e-02
2.200000e-01 4.744975e-02
2.300000e-01 5.053139e-02
2.400000e-01 5.326029e-02
2.500000e-01 5.553922e-02
2.600000e-01 5.720729e-02
2.700000e-01 5.858581e-02
2.800000e-01 5.984881e-02
2.900000e-01 6.085471e-02
3.000000e-01 6.114136e-02
