T X
0 0
2.000000e-03 4.633003e-09
4.000000e-03 3.288671e-09
6.000000e-03 -2.071123e-08
8.000000e-03 -5.911120e-08
1.000000e-02 -8.860795e-08
1.200000e-02 -9.664945e-08
1.400000e-02 -7.526853e-08
1.600000e-02 -1.320393e-07
1.800000e-02 -2.626018e-07
2.000000e-02 -3.771103e-07
2.200000e-02 -3.701126e-07
2.400000e-02 1.918577e-08
2.600000e-02 3.284735e-07
2.800000e-02 -1.982813e-07
3.000000e-02 -1.392168e-06
3.200000e-02 -2.106895e-06
3.400000e-02 1.361277e-06
3.600000e-02 1.833544e-05
3.800000e-02 6.996725e-05
4.000000e-02 2.021694e-04
4.200000e-02 4.954449e-04
4.400000e-02 1.054296e-03
4.600000e-02 1.963568e-03
4.800000e-02 3.217627e-03
5.000000e-02 4.662151e-03
5.200000e-02 6.029392e-03
5.400000e-02 7.134963e-03
5.600000e-02 8.066483e-03
5.800000e-02 9.052399e-03
6.000000e-02 1.012471e-02
6.200000e-02 1.108959e-02
6.400000e-02 1.187760e-02
6.600000e-02 1.263041e-02
6.800000e-02 1.337029e-02
7.000000e-02 1.397346e-02
7.200000e-02 1.445378e-02
7.400000e-02 1.488943e-02
7.600000e-02 1.522802e-02
7.800000e-02 1.543202e-02
8.000000e-02 1.555071e-02
8.200000e-02 1.558074e-02
8.400000e-02 1.549786e-02
8.600000e-02 1.532310e-02
8.800000e-02 1.506145e-02
9.000000e-02 1.468843e-02
9.200000e-02 1.420096e-02
9.400000e-02 1.362517e-02
9.600000e-02 1.297404e-02
9.800000e-02 1.224232e-02
1.000000e-01 1.143194e-02
1.020000e-01 1.054308e-02
1.040000e-01 9.576924e-03
1.060000e-01 8.556467e-03
1.080000e-01 7.500383e-03
1.100000e-01 6.407087e-03
1.120000e-01 5.272364e-03
1.140000e-01 4.102743e-03
1.160000e-01 2.920750e-03
1.180000e-01 1.737859e-03
1.200000e-01 5.659248e-04
1.220000e-01 -5.737241e-04
1.240000e-01 -1.703950e-03
1.260000e-01 -2.867245e-03
1.280000e-01 -4.068965e-03
1.300000e-01 -5.290153e-03
1.320000e-01 -6.506864e-03
1.340000e-01 -7.685175e-03
1.360000e-01 -8.780436e-03
1.380000e-01 -9.779802e-03
1.400000e-01 -1.071414e-02
1.420000e-01 -1.159396e-02
1.440000e-01 -1.241493e-02
1.460000e-01 -1.318450e-02
1.480000e-01 -1.386666e-02
1.500000e-01 -1.441995e-02
1.520000e-01 -1.487011e-02
1.540000e-01 -1.523915e-02
1.560000e-01 -1.550774e-02
1.580000e-01 -1.567024e-02
1.600000e-01 -1.573636e-02
1.620000e-01 -1.570893e-02
1.640000e-01 -1.559185e-02
1.660000e-01 -1.538298e-02
1.680000e-01 -1.506025e-02
1.700000e-01 -1.462662e-02
1.720000e-01 -1.411655e-02
1.740000e-01 -1.352658e-02
1.760000e-01 -1.283650e-02
1.780000e-01 -1.206374e-02
1.800000e-01 -1.122067e-02
1.820000e-01 -1.030170e-02
1.840000e-01 -9.314320e-03
1.860000e-01 -8.261534e-03
1.880000e-01 -7.145676e-03
1.900000e-01 -5.983705e-03
1.920000e-01 -4.794557e-03
1.940000e-01 -3.574637e-03
1.960000e-01 -2.308553e-03
1.980000e-01 -1.033173e-03
2.000000e-01 2.147175e-04
2.020000e-01 1.470856e-03
2.040000e-01 2.740330e-03
2.060000e-01 3.969233e-03
2.080000e-01 5.151930e-03
2.100000e-01 6.314046e-03
2.120000e-01 7.447950e-03
2.140000e-01 8.544500e-03
2.160000e-01 9.597266e-03
2.180000e-01 1.057932e-02
2.200000e-01 1.147971e-02
2.220000e-01 1.231156e-02
2.240000e-01 1.306624e-02
2.260000e-01 1.373076e-02
2.280000e-01 1.432240e-02
2.300000e-01 1.484430e-02
2.320000e-01 1.526055e-02
2.340000e-01 1.555027e-02
2.360000e-01 1.573891e-02
2.380000e-01 1.584104e-02
2.400000e-01 1.583719e-02
2.420000e-01 1.572782e-02
2.440000e-01 1.552793e-02
2.460000e-01 1.522217e-02
2.480000e-01 1.480267e-02
2.500000e-01 1.430088e-02
2.520000e-01 1.372759e-02
2.540000e-01 1.306725e-02
2.560000e-01 1.231198e-02
2.580000e-01 1.145621e-02
2.600000e-01 1.051626e-02
2.620000e-01 9.542166e-03
2.640000e-01 8.543663e-03
2.660000e-01 7.466564e-03
2.680000e-01 6.308117e-03
2.700000e-01 5.118507e-03
2.720000e-01 3.915257e-03
2.740000e-01 2.689069e-03
2.760000e-01 1.435118e-03
2.780000e-01 1.692283e-04
2.800000e-01 -1.099021e-03
2.820000e-01 -2.371815e-03
2.840000e-01 -3.622110e-03
2.860000e-01 -4.838189e-03
2.880000e-01 -6.043360e-03
2.900000e-01 -7.208381e-03
2.920000e-01 -8.295266e-03
2.940000e-01 -9.334516e-03
2.960000e-01 -1.033985e-02
2.980000e-01 -1.126812e-02
3.000000e-01 -1.210482e-02
3.020000e-01 -1.288265e-02
3.040000e-01 -1.359977e-02
3.060000e-01 -1.421849e-02
3.080000e-01 -1.472705e-02
3.100000e-01 -1.513532e-02
3.120000e-01 -1.545961e-02
3.140000e-01 -1.569954e-02
3.160000e-01 -1.582793e-02
3.180000e-01 -1.584301e-02
3.200000e-01 -1.576892e-02
3.220000e-01 -1.560789e-02
3.240000e-01 -1.534177e-02
3.260000e-01 -1.496834e-02
3.280000e-01 -1.450227e-02
3.300000e-01 -1.394476e-02
3.320000e-01 -1.329362e-02
3.340000e-01 -1.255732e-02
3.360000e-01 -1.174073e-02
3.380000e-01 -1.084453e-02
3.400000e-01 -9.879989e-03
3.420000e-01 -8.860103e-03
3.440000e-01 -7.772853e-03
3.460000e-01 -6.615976e-03
3.480000e-01 -5.429765e-03
3.500000e-01 -4.236497e-03
3.520000e-01 -3.017543e-03
3.540000e-01 -1.769093e-03
3.560000e-01 -5.001119e-04
3.580000e-01 7.859307e-04
3.600000e-01 2.056705e-03
3.620000e-01 3.286265e-03
3.640000e-01 4.498468e-03
3.660000e-01 5.703515e-03
3.680000e-01 6.876032e-03
3.700000e-01 8.000809e-03
3.720000e-01 9.069019e-03
3.740000e-01 1.007591e-02
3.760000e-01 1.102336e-02
3.780000e-01 1.189804e-02
3.800000e-01 1.269683e-02
3.820000e-01 1.342569e-02
3.840000e-01 1.406277e-02
3.860000e-01 1.460050e-02
3.880000e-01 1.505687e-02
3.900000e-01 1.541621e-02
3.920000e-01 1.566607e-02
3.940000e-01 1.582428e-02
3.960000e-01 1.587988e-02
3.980000e-01 1.581528e-02
4.000000e-01 1.564717e-02
4.020000e-01 1.539092e-02
4.040000e-01 1.504275e-02
4.060000e-01 1.460382e-02
4.080000e-01 1.407306e-02
4.100000e-01 1.344338e-02
4.120000e-01 1.272531e-02
4.140000e-01 1.193742e-02
4.160000e-01 1.107859e-02
4.180000e-01 1.014122e-02
4.200000e-01 9.133736e-03
4.220000e-01 8.068132e-03
4.240000e-01 6.955431e-03
4.260000e-01 5.798563e-03
4.280000e-01 4.594461e-03
4.300000e-01 3.355594e-03
4.320000e-01 2.100518e-03
4.340000e-01 8.416500e-04
4.360000e-01 -4.183735e-04
4.380000e-01 -1.683254e-03
4.400000e-01 -2.938827e-03
4.420000e-01 -4.173225e-03
4.440000e-01 -5.393133e-03
4.460000e-01 -6.587873e-03
4.480000e-01 -7.728030e-03
4.500000e-01 -8.801262e-03
4.520000e-01 -9.814046e-03
4.540000e-01 -1.076815e-02
4.560000e-01 -1.166084e-02
4.580000e-01 -1.247688e-02
4.600000e-01 -1.321114e-02
4.620000e-01 -1.386968e-02
4.640000e-01 -1.443886e-02
4.660000e-01 -1.491585e-02
4.680000e-01 -1.530437e-02
4.700000e-01 -1.559336e-02
4.720000e-01 -1.577654e-02
4.740000e-01 -1.586537e-02
4.760000e-01 -1.585377e-02
4.780000e-01 -1.572297e-02
4.800000e-01 -1.549649e-02
4.820000e-01 -1.518556e-02
4.840000e-01 -1.476756e-02
4.860000e-01 -1.424720e-02
4.880000e-01 -1.363458e-02
4.900000e-01 -1.293202e-02
4.920000e-01 -1.215863e-02
4.940000e-01 -1.131902e-02
4.960000e-01 -1.039467e-02
4.980000e-01 -9.390365e-03
5.000000e-01 -8.329370e-03
