T X
0 0
2.000000e-03 1.580927e-11
4.000000e-03 6.778273e-11
6.000000e-03 -2.467369e-10
8.000000e-03 7.786912e-10
1.000000e-02 -1.716865e-10
1.200000e-02 -7.704014e-10
1.400000e-02 1.352695e-09
1.600000e-02 -5.815866e-10
1.800000e-02 8.574455e-10
2.000000e-02 2.224629e-09
2.200000e-02 -1.396660e-09
2.400000e-02 1.873295e-10
2.600000e-02 -1.334648e-09
2.800000e-02 -5.341599e-10
3.000000e-02 6.604797e-09
3.200000e-02 5.934663e-09
3.400000e-02 1.121217e-08
3.600000e-02 1.474350e-08
3.800000e-02 -6.070335e-09
4.000000e-02 -2.470059e-08
4.200000e-02 -2.628636e-08
4.400000e-02 -6.684297e-08
4.600000e-02 -1.428775e-07
4.800000e-02 -1.816656e-07
5.000000e-02 -1.718792e-07
5.200000e-02 1.340246e-08
5.400000e-02 4.263964e-07
5.600000e-02 9.034431e-07
5.800000e-02 1.041260e-06
6.000000e-02 2.308739e-07
6.200000e-02 -1.310205e-06
6.400000e-02 -2.637605e-06
6.600000e-02 -2.783884e-06
6.800000e-02 -1.738393e-06
7.000000e-02 -2.138317e-07
7.200000e-02 8.596925e-07
7.400000e-02 -1.318191e-07
7.600000e-02 -2.198584e-06
7.800000e-02 -1.725404e-06
8.000000e-02 4.423831e-06
8.200000e-02 2.523389e-05
8.400000e-02 9.059162e-05
8.600000e-02 2.564764e-04
8.800000e-02 6.002601e-04
9.000000e-02 1.206870e-03
9.200000e-02 2.136674e-03
9.400000e-02 3.379813e-03
9.600000e-02 4.813389e-03
9.800000e-02 6.231353e-03
1.000000e-01 7.468151e-03
1.020000e-01 8.507020e-03
1.040000e-01 9.458807e-03
1.060000e-01 1.043075e-02
1.080000e-01 1.142010e-02
1.100000e-01 1.232902e-02
1.120000e-01 1.308555e-02
1.140000e-01 1.373805e-02
1.160000e-01 1.436561e-02
1.180000e-01 1.493724e-02
1.200000e-01 1.537585e-02
1.220000e-01 1.568369e-02
1.240000e-01 1.590699e-02
1.260000e-01 1.605610e-02
1.280000e-01 1.610701e-02
1.300000e-01 1.604794e-02
1.320000e-01 1.588670e-02
1.340000e-01 1.561629e-02
1.360000e-01 1.524718e-02
1.380000e-01 1.479338e-02
1.400000e-01 1.423197e-02
1.420000e-01 1.358880e-02
1.440000e-01 1.288334e-02
1.460000e-01 1.208000e-02
1.480000e-01 1.120561e-02
1.500000e-01 1.026989e-02
1.520000e-01 9.241218e-03
1.540000e-01 8.174251e-03
1.560000e-01 7.085927e-03
1.580000e-01 5.915267e-03
1.600000e-01 4.689922e-03
1.620000e-01 3.451885e-03
1.640000e-01 2.187686e-03
1.660000e-01 9.116599e-04
1.680000e-01 -3.375818e-04
1.700000e-01 -1.556544e-03
1.720000e-01 -2.769843e-03
1.740000e-01 -3.963136e-03
1.760000e-01 -5.118839e-03
1.780000e-01 -6.262056e-03
1.800000e-01 -7.410743e-03
1.820000e-01 -8.548915e-03
1.840000e-01 -9.650991e-03
1.860000e-01 -1.068012e-02
1.880000e-01 -1.158847e-02
1.900000e-01 -1.235994e-02
1.920000e-01 -1.303938e-02
1.940000e-01 -1.370281e-02
1.960000e-01 -1.434783e-02
1.980000e-01 -1.488821e-02
2.000000e-01 -1.528029e-02
2.020000e-01 -1.555527e-02
2.040000e-01 -1.576719e-02
2.060000e-01 -1.591740e-02
2.080000e-01 -1.595574e-02
2.100000e-01 -1.585266e-02
2.120000e-01 -1.562975e-02
2.140000e-01 -1.532980e-02
2.160000e-01 -1.495702e-02
2.180000e-01 -1.449520e-02
2.200000e-01 -1.392048e-02
2.220000e-01 -1.322091e-02
2.240000e-01 -1.245155e-02
2.260000e-01 -1.165638e-02
2.280000e-01 -1.079637e-02
2.300000e-01 -9.845237e-03
2.320000e-01 -8.821628e-03
2.340000e-01 -7.739373e-03
2.360000e-01 -6.621354e-03
2.380000e-01 -5.471203e-03
2.400000e-01 -4.269738e-03
2.420000e-01 -3.021315e-03
2.440000e-01 -1.749280e-03
2.460000e-01 -4.702325e-04
2.480000e-01 8.026814e-04
2.500000e-01 2.055362e-03
2.520000e-01 3.289861e-03
2.540000e-01 4.518257e-03
2.560000e-01 5.731559e-03
2.580000e-01 6.865790e-03
2.600000e-01 7.926881e-03
2.620000e-01 8.979763e-03
2.640000e-01 9.986635e-03
2.660000e-01 1.091320e-02
2.680000e-01 1.178633e-02
2.700000e-01 1.259403e-02
2.720000e-01 1.331146e-02
2.740000e-01 1.394253e-02
2.760000e-01 1.447572e-02
2.780000e-01 1.492510e-02
2.800000e-01 1.530329e-02
2.820000e-01 1.558534e-02
2.840000e-01 1.575844e-02
2.860000e-01 1.580024e-02
2.880000e-01 1.573545e-02
2.900000e-01 1.560668e-02
2.920000e-01 1.537472e-02
2.940000e-01 1.500990e-02
2.960000e-01 1.455205e-02
2.980000e-01 1.402266e-02
3.000000e-01 1.340130e-02
3.020000e-01 1.269004e-02
3.040000e-01 1.189838e-02
