T X
0 0
2.000000e-03 -3.329652e-12
4.000000e-03 6.815954e-11
6.000000e-03 -1.378809e-10
8.000000e-03 4.999823e-10
1.000000e-02 -3.773771e-10
1.200000e-02 -8.272137e-11
1.400000e-02 1.231565e-09
1.600000e-02 -6.399810e-10
1.800000e-02 1.103379e-09
2.000000e-02 3.576887e-10
2.200000e-02 -1.448675e-09
2.400000e-02 1.479613e-09
2.600000e-02 5.359675e-10
2.800000e-02 4.139711e-09
3.000000e-02 5.969765e-09
3.200000e-02 4.315198e-09
3.400000e-02 2.367492e-09
3.600000e-02 -2.142027e-08
3.800000e-02 -4.650105e-08
4.000000e-02 -6.169559e-08
4.200000e-02 -7.508791e-08
4.400000e-02 -3.999395e-08
4.600000e-02 9.587207e-08
4.800000e-02 2.941103e-07
5.000000e-02 3.993703e-07
5.200000e-02 2.233871e-07
5.400000e-02 -3.903411e-07
5.600000e-02 -1.192901e-06
5.800000e-02 -1.499906e-06
6.000000e-02 -8.483220e-07
6.200000e-02 5.138337e-07
6.400000e-02 1.902387e-06
6.600000e-02 4.292277e-06
6.800000e-02 1.224469e-05
7.000000e-02 3.659886e-05
7.200000e-02 9.919390e-05
7.400000e-02 2.387236e-04
7.600000e-02 5.140699e-04
7.800000e-02 9.966142e-04
8.000000e-02 1.746171e-03
8.200000e-02 2.769522e-03
8.400000e-02 3.987431e-03
8.600000e-02 5.244608e-03
8.800000e-02 6.377655e-03
9.000000e-02 7.311193e-03
9.200000e-02 8.104976e-03
9.400000e-02 8.892519e-03
9.600000e-02 9.745532e-03
9.800000e-02 1.059215e-02
1.000000e-01 1.129631e-02
1.020000e-01 1.183233e-02
1.040000e-01 1.230724e-02
1.060000e-01 1.279248e-02
1.080000e-01 1.323023e-02
1.100000e-01 1.353272e-02
1.120000e-01 1.370418e-02
1.140000e-01 1.381289e-02
1.160000e-01 1.388021e-02
1.180000e-01 1.385869e-02
1.200000e-01 1.371204e-02
1.220000e-01 1.346597e-02
1.240000e-01 1.315575e-02
1.260000e-01 1.277577e-02
1.280000e-01 1.230836e-02
1.300000e-01 1.175118e-02
1.320000e-01 1.112592e-02
1.340000e-01 1.045407e-02
1.360000e-01 9.709766e-03
1.380000e-01 8.879687e-03
1.400000e-01 8.008442e-03
1.420000e-01 7.106615e-03
1.440000e-01 6.147930e-03
1.460000e-01 5.141554e-03
1.480000e-01 4.113188e-03
1.500000e-01 3.056929e-03
1.520000e-01 1.957544e-03
1.540000e-01 8.655551e-04
1.560000e-01 -1.980378e-04
1.580000e-01 -1.276009e-03
1.600000e-01 -2.319929e-03
1.620000e-01 -3.320004e-03
1.640000e-01 -4.346741e-03
1.660000e-01 -5.362635e-03
1.680000e-01 -6.347554e-03
1.700000e-01 -7.336123e-03
1.720000e-01 -8.282304e-03
1.740000e-01 -9.161521e-03
1.760000e-01 -9.953066e-03
1.780000e-01 -1.062530e-02
1.800000e-01 -1.123060e-02
1.820000e-01 -1.179730e-02
1.840000e-01 -1.233138e-02
1.860000e-01 -1.281711e-02
1.880000e-01 -1.318250e-02
1.900000e-01 -1.342027e-02
1.920000e-01 -1.358389e-02
1.940000e-01 -1.370877e-02
1.960000e-01 -1.377242e-02
1.980000e-01 -1.370349e-02
2.000000e-01 -1.349719e-02
2.020000e-01 -1.322928e-02
2.040000e-01 -1.292151e-02
2.060000e-01 -1.253262e-02
2.080000e-01 -1.203393e-02
2.100000e-01 -1.143239e-02
2.120000e-01 -1.077249e-02
2.140000e-01 -1.008175e-02
2.160000e-01 -9.343240e-03
2.180000e-01 -8.525914e-03
2.200000e-01 -7.633477e-03
2.220000e-01 -6.701516e-03
2.240000e-01 -5.741148e-03
2.260000e-01 -4.746589e-03
2.280000e-01 -3.707832e-03
2.300000e-01 -2.636131e-03
2.320000e-01 -1.547625e-03
2.340000e-01 -4.350159e-04
2.360000e-01 6.708468e-04
2.380000e-01 1.739576e-03
2.400000e-01 2.805526e-03
2.420000e-01 3.870109e-03
2.440000e-01 4.900457e-03
2.460000e-01 5.899303e-03
2.480000e-01 6.844430e-03
2.500000e-01 7.731404e-03
2.520000e-01 8.594566e-03
2.540000e-01 9.424492e-03
2.560000e-01 1.018254e-02
2.580000e-01 1.085869e-02
2.600000e-01 1.148203e-02
2.620000e-01 1.203546e-02
2.640000e-01 1.248967e-02
2.660000e-01 1.287943e-02
2.680000e-01 1.321809e-02
2.700000e-01 1.345363e-02
2.720000e-01 1.358496e-02
2.740000e-01 1.364441e-02
2.760000e-01 1.360447e-02
2.780000e-01 1.347394e-02
2.800000e-01 1.326912e-02
2.820000e-01 1.297294e-02
2.840000e-01 1.258880e-02
2.860000e-01 1.212118e-02
2.880000e-01 1.157375e-02
2.900000e-01 1.097192e-02
2.920000e-01 1.030112e-02
2.940000e-01 9.534963e-03
2.960000e-01 8.732769e-03
2.980000e-01 7.896244e-03
3.000000e-01 6.984802e-03
3.020000e-01 6.035231e-03
3.040000e-01 5.052353e-03
3.060000e-01 4.032947e-03
3.080000e-01 3.005319e-03
3.100000e-01 1.949626e-03
3.120000e-01 8.520036e-04
3.140000e-01 -2.579310e-04
3.160000e-01 -1.350650e-03
3.180000e-01 -2.409087e-03
3.200000e-01 -3.470566e-03
3.220000e-01 -4.553580e-03
3.240000e-01 -5.577595e-03
3.260000e-01 -6.517832e-03
3.280000e-01 -7.442552e-03
3.300000e-01 -8.353218e-03
3.320000e-01 -9.202311e-03
3.340000e-01 -9.960407e-03
3.360000e-01 -1.062729e-02
3.380000e-01 -1.124886e-02
3.400000e-01 -1.183396e-02
3.420000e-01 -1.233362e-02
3.440000e-01 -1.272068e-02
3.460000e-01 -1.304503e-02
3.480000e-01 -1.332010e-02
3.500000e-01 -1.348941e-02
3.520000e-01 -1.356059e-02
3.540000e-01 -1.355920e-02
3.560000e-01 -1.346673e-02
3.580000e-01 -1.327984e-02
3.600000e-01 -1.301200e-02
3.620000e-01 -1.266293e-02
3.640000e-01 -1.223114e-02
3.660000e-01 -1.170938e-02
3.680000e-01 -1.112062e-02
3.700000e-01 -1.046763e-02
3.720000e-01 -9.733852e-03
3.740000e-01 -8.941398e-03
3.760000e-01 -8.098210e-03
3.780000e-01 -7.197836e-03
3.800000e-01 -6.246933e-03
3.820000e-01 -5.275698e-03
3.840000e-01 -4.274606e-03
3.860000e-01 -3.227497e-03
3.880000e-01 -2.160017e-03
3.900000e-01 -1.098670e-03
3.920000e-01 -3.877427e-05
3.940000e-01 1.044202e-03
3.960000e-01 2.127788e-03
3.980000e-01 3.193357e-03
4.000000e-01 4.239137e-03
4.020000e-01 5.250335e-03
4.040000e-01 6.236279e-03
4.060000e-01 7.193082e-03
4.080000e-01 8.086497e-03
4.100000e-01 8.922151e-03
4.120000e-01 9.710951e-03
4.140000e-01 1.044564e-02
4.160000e-01 1.111520e-02
4.180000e-01 1.170160e-02
4.200000e-01 1.220117e-02
4.220000e-01 1.262374e-02
4.240000e-01 1.299131e-02
4.260000e-01 1.326685e-02
4.280000e-01 1.343054e-02
4.300000e-01 1.353013e-02
4.320000e-01 1.355642e-02
4.340000e-01 1.348213e-02
4.360000e-01 1.331083e-02
4.380000e-01 1.307129e-02
4.400000e-01 1.275779e-02
4.420000e-01 1.233001e-02
4.440000e-01 1.183631e-02
4.460000e-01 1.129593e-02
4.480000e-01 1.064371e-02
4.500000e-01 9.923017e-03
4.520000e-01 9.181374e-03
4.540000e-01 8.346601e-03
4.560000e-01 7.445751e-03
4.580000e-01 6.541252e-03
4.600000e-01 5.566396e-03
4.620000e-01 4.517916e-03
4.640000e-01 3.501901e-03
4.660000e-01 2.482275e-03
4.680000e-01 1.364509e-03
4.700000e-01 2.503291e-04
4.720000e-01 -7.918117e-04
4.740000e-01 -1.848972e-03
4.760000e-01 -2.958342e-03
4.780000e-01 -4.038503e-03
4.800000e-01 -5.014813e-03
4.820000e-01 -5.968779e-03
4.840000e-01 -6.973568e-03
4.860000e-01 -7.918772e-03
4.880000e-01 -8.725441e-03
4.900000e-01 -9.486242e-03
4.920000e-01 -1.026006e-02
4.940000e-01 -1.097023e-02
4.960000e-01 -1.154424e-02
4.980000e-01 -1.203401e-02
5.000000e-01 -1.252457e-02
