T X
0 0
2.000000e-03 -8.857515e-09
4.000000e-03 -7.716052e-09
6.000000e-03 2.797164e-08
8.000000e-03 3.802573e-08
1.000000e-02 1.382964e-08
1.200000e-02 4.875474e-08
1.400000e-02 8.511883e-08
1.600000e-02 4.984895e-08
1.800000e-02 -6.782867e-08
2.000000e-02 -1.747022e-07
2.200000e-02 -4.887201e-08
2.400000e-02 -2.500183e-07
2.600000e-02 -2.029066e-07
2.800000e-02 2.083622e-06
3.000000e-02 9.425244e-06
3.200000e-02 3.124253e-05
3.400000e-02 9.171069e-05
3.600000e-02 2.428972e-04
3.800000e-02 5.690785e-04
4.000000e-02 1.165424e-03
4.200000e-02 2.080503e-03
4.400000e-02 3.240288e-03
4.600000e-02 4.444745e-03
4.800000e-02 5.495849e-03
5.000000e-02 6.367994e-03
5.200000e-02 7.204197e-03
5.400000e-02 8.100409e-03
5.600000e-02 8.975177e-03
5.800000e-02 9.714807e-03
6.000000e-02 1.035198e-02
6.200000e-02 1.097691e-02
6.400000e-02 1.156422e-02
6.600000e-02 1.203484e-02
6.800000e-02 1.240784e-02
7.000000e-02 1.273951e-02
7.200000e-02 1.298565e-02
7.400000e-02 1.311671e-02
7.600000e-02 1.319764e-02
7.800000e-02 1.321151e-02
8.000000e-02 1.309784e-02
8.200000e-02 1.289660e-02
8.400000e-02 1.263492e-02
8.600000e-02 1.228963e-02
8.800000e-02 1.186420e-02
9.000000e-02 1.136563e-02
9.200000e-02 1.079981e-02
9.400000e-02 1.016850e-02
9.600000e-02 9.464871e-03
9.800000e-02 8.708647e-03
1.000000e-01 7.899132e-03
1.020000e-01 7.016042e-03
1.040000e-01 6.090708e-03
1.060000e-01 5.145758e-03
1.080000e-01 4.162956e-03
1.100000e-01 3.151241e-03
1.120000e-01 2.140804e-03
1.140000e-01 1.130492e-03
1.160000e-01 1.104077e-04
1.180000e-01 -8.939232e-04
1.200000e-01 -1.881776e-03
1.220000e-01 -2.876655e-03
1.240000e-01 -3.864017e-03
1.260000e-01 -4.850799e-03
1.280000e-01 -5.851639e-03
1.300000e-01 -6.823351e-03
1.320000e-01 -7.725032e-03
1.340000e-01 -8.547020e-03
1.360000e-01 -9.285963e-03
1.380000e-01 -9.961879e-03
1.400000e-01 -1.060810e-02
1.420000e-01 -1.121866e-02
1.440000e-01 -1.174748e-02
1.460000e-01 -1.217336e-02
1.480000e-01 -1.252160e-02
1.500000e-01 -1.282350e-02
1.520000e-01 -1.306655e-02
